"ID_COMUNA_D","k","empsit","factor_expansion","empcom","fe_empcom","sum_fe_empcom","emp"
16,299,462.55239065,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,1184.46989770511
16,300,251.5680126,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,644.196731383169
16,301,1127.11061005,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,2886.22135778442
16,302,125.7840063,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,322.098365691585
16,290,78.38546603,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,200.723694887084
16,291,249.76702513,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,639.584896080877
16,292,351.40441866,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,899.850404488089
16,293,352.68508823,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,903.1298482554
16,294,331.2310651,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,848.191975063469
16,309,219.46463715,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,561.988785637142
16,310,1668.70175934,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,4273.08785369866
16,306,312.0492126,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,799.072508106349
16,307,31.44863014,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,80.5313224574332
16,303,1280.944413,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,3280.147564906
16,305,582.05788911,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,1490.49072561004
16,308,60.4812,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,154.87577672318
16,278,90.65311489,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,232.137781343036
16,275,170.11446401,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,435.616517949316
17,46,85.20037175,85.20037175,9201.44595761,783966.616225907,18595778.5734341,147.781698699072
17,45,85.20037175,85.20037175,9201.44595761,783966.616225907,18595778.5734341,147.781698699072
17,55,339.31553118,85.20037175,9201.44595761,783966.616225907,18595778.5734341,588.549375581315
17,47,1825.72892704,85.20037175,9201.44595761,783966.616225907,18595778.5734341,3166.76226476683
17,48,960.57194789,85.20037175,9201.44595761,783966.616225907,18595778.5734341,1666.13069011475
17,54,170.4007435,85.20037175,9201.44595761,783966.616225907,18595778.5734341,295.563397398145
17,61,255.02855627,85.20037175,9201.44595761,783966.616225907,18595778.5734341,442.351981431965
17,62,521.83867409,85.20037175,9201.44595761,783966.616225907,18595778.5734341,905.139310074569
17,63,762.11865983,85.20037175,9201.44595761,783966.616225907,18595778.5734341,1321.90960962489
17,44,688.24286042,85.20037175,9201.44595761,783966.616225907,18595778.5734341,1193.77060148069
17,65,747.78316525,85.20037175,9201.44595761,783966.616225907,18595778.5734341,1297.04441599709
17,66,255.31483576,85.20037175,9201.44595761,783966.616225907,18595778.5734341,442.848538764591
17,67,248.78620953,85.20037175,9201.44595761,783966.616225907,18595778.5734341,431.5245098358
17,64,569.03780139,85.20037175,9201.44595761,783966.616225907,18595778.5734341,987.007112599829
17,69,415.47879647,85.20037175,9201.44595761,783966.616225907,18595778.5734341,720.656037698365
17,70,154.94674719,85.20037175,9201.44595761,783966.616225907,18595778.5734341,268.758140807454
17,68,1116.4517583,85.20037175,9201.44595761,783966.616225907,18595778.5734341,1936.5072471898
18,202,799.64594657,94.46554719,4162.33520625,393197.272846608,18595778.5734341,1537.83187930181
18,210,125.7840063,94.46554719,4162.33520625,393197.272846608,18595778.5734341,241.900375565158
18,206,187.63762166,94.46554719,4162.33520625,393197.272846608,18595778.5734341,360.853597248692
18,203,210.04335325,94.46554719,4162.33520625,393197.272846608,18595778.5734341,403.942977575045
18,209,537.13172512,94.46554719,4162.33520625,393197.272846608,18595778.5734341,1032.98002549383
18,200,717.97650993,94.46554719,4162.33520625,393197.272846608,18595778.5734341,1380.7700399111
18,211,178.59472311,94.46554719,4162.33520625,393197.272846608,18595778.5734341,343.462828582719
18,213,79.93884061,94.46554719,4162.33520625,393197.272846608,18595778.5734341,153.733659267318
18,201,1136.65138532,94.46554719,4162.33520625,393197.272846608,18595778.5734341,2185.94084481443
